x,y,z,label
526034.679,4694104.183,13.095,2.0
526034.672,4694103.937,13.098000000000003,2.0
526039.989,4694102.965,13.099999999999998,2.0
526034.755,4694104.171,13.100999999999999,2.0
526038.532,4694102.205,13.103,2.0
526038.161,4694101.995,13.107,2.0
526039.844,4694103.284,13.117,2.0
526038.344,4694102.349,13.121,2.0
526037.815,4694102.029,13.184000000000001,2.0
526037.858,4694101.839,13.227,2.0
526039.961,4694103.091,13.245000000000001,2.0
526034.527,4694103.378,13.276,2.0
526036.982,4694103.365,13.315000000000001,2.0
526033.855,4694102.17,13.401,2.0
526040.184,4694103.25,13.418,2.0
526040.057,4694103.213,13.439,2.0
526034.521,4694103.533,13.453,2.0
526039.003,4694100.376,13.516000000000002,2.0
526038.33,4694100.282,13.553999999999998,2.0
526039.702,4694105.865,13.582,2.0
526040.285,4694103.117,13.585,2.0
526034.294,4694103.953,13.597999999999999,2.0
526039.762,4694105.803,13.620000000000001,2.0
526034.308,4694104.08,13.626,2.0
526037.269,4694103.665,13.654,2.0
526034.291,4694102.942,13.671,2.0
526038.613,4694100.435,13.692,2.0
526038.875,4694100.531,13.710999999999999,2.0
526039.82,4694105.675,13.712,2.0
526039.038,4694100.118,13.724,2.0
526038.709,4694100.242,13.734000000000002,2.0
526037.008,4694103.909,13.779999999999998,2.0
526034.277,4694103.005,13.839000000000002,2.0
526037.005,4694103.658,13.839000000000002,2.0
526039.53,4694104.796,13.849,2.0
526039.304,4694102.241,13.852,2.0
526038.769,4694100.362,13.863,2.0
526038.742,4694102.476,13.874000000000002,2.0
526038.87,4694100.239,13.94,2.0
526037.979,4694100.265,13.976,2.0
526039.309,4694102.552,13.976,2.0
526036.92,4694104.177,13.979,2.0
526039.051,4694102.228,13.995000000000001,2.0
526038.644,4694102.918,14.005000000000003,2.0
526036.782,4694104.258,14.018,2.0
526036.801,4694103.754,14.061,2.0
526038.607,4694102.683,14.067,2.0
526034.338,4694103.556,14.07,2.0
526036.683,4694104.025,14.116,2.0
526039.882,4694104.263,14.128,2.0
526038.981,4694102.325,14.161000000000001,2.0
526036.778,4694103.664,14.213000000000001,2.0
526039.256,4694102.471,14.218,2.0
526039.363,4694105.695,14.229,2.0
526037.607,4694103.257,14.241,2.0
526039.396,4694105.319,14.264,2.0
526038.94,4694102.684,14.283000000000001,2.0
526037.736,4694103.581,14.298,2.0
526038.158,4694100.28,14.306,2.0
